method,query,language,search_time_ms,num_relevant,precision@10,recall@50,ndcg@10,mrr
BM25,শিক্ষা ব্যবস্থা বাংলাদেশ,bn,39.000511169433594,7,0.2,0.5714285714285714,0.22906361076190904,0.3333333333333333
BM25,বাংলাদেশ অর্থনীতি,bn,26.997804641723633,10,0.5,0.8,0.6051399156371955,1.0
BM25,বাংলাদেশ ব্যাংক,bn,27.00042724609375,7,0.6,1.0,0.8531149315090835,1.0
BM25,ঢাকা যানজট,bn,17.001867294311523,5,0.5,1.0,0.9182162519778518,1.0
BM25,চেয়ার,bn,0.0,0,0.0,0.0,0.0,0.0
BM25,বাংলাদেশ কৃষি সমস্যা,bn,31.987667083740234,9,0.1,0.2222222222222222,0.23504554941448536,1.0
BM25,বেকারত্ব বাংলাদেশ,bn,26.0007381439209,4,0.0,0.5,0.0,0.07142857142857142
BM25,বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,en,37.99915313720703,4,0.0,0.0,0.0,0.0
BM25,কক্সবাজার শরণার্থী শিবির আগুন,bn,4.999637603759766,3,0.0,1.0,0.0,0.058823529411764705
BM25,নর্সিংদি ভূমিকম্প,en,1.0023117065429688,0,0.0,0.0,0.0,0.0
BM25,বাংলাদেশে মুদ্রাস্ফীতি,en,9.998798370361328,10,0.0,0.1,0.0,0.02564102564102564
BM25,আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,en,9.003162384033203,4,0.0,0.5,0.0,0.05
BM25,উন্নয়ন,bn,1.0020732879638672,8,0.5,0.75,0.7457912185292983,1.0
BM25,climate change impact in Bangladesh,bn,59.99946594238281,3,0.2,0.6666666666666666,0.7039180890341347,1.0
BM25,Bangladesh economy growth,bn,30.997037887573242,9,0.0,0.1111111111111111,0.0,0.03125
BM25,Dhaka traffic congestion,en,14.998674392700195,9,0.3,0.4444444444444444,0.4042175585450763,1.0
BM25,unemployment in Bangladesh,bn,59.00001525878906,4,0.0,0.0,0.0,0.0
BM25,Bangladesh interim government reforms,en,38.99955749511719,8,0.3,0.5,0.5390031312763821,1.0
BM25,Rohingya refugee crisis in Bangladesh,bn,61.00058555603027,10,0.1,0.5,0.08514311764162098,0.2
BM25,Bangladesh earthquake preparedness,en,28.999805450439453,1,0.1,1.0,1.0,1.0
BM25,Bangladesh garment worker heat stress,bn,31.00132942199707,4,0.0,0.25,0.0,0.09090909090909091
BM25,Bangladesh T20 World Cup security concerns,en,42.00005531311035,10,0.4,0.8,0.501749354207772,1.0
BM25,Bangladesh quantum computing research,en,30.998706817626953,0,0.0,0.0,0.0,0.0
Fuzzy,শিক্ষা ব্যবস্থা বাংলাদেশ,bn,2056.744337081909,7,0.1,0.2857142857142857,0.10633668103022985,0.2
Fuzzy,বাংলাদেশ অর্থনীতি,bn,1384.7904205322266,10,0.1,0.3,0.22009176629808017,1.0
Fuzzy,বাংলাদেশ ব্যাংক,bn,1318.5920715332031,7,0.3,0.42857142857142855,0.3428875067876792,0.5
Fuzzy,ঢাকা যানজট,bn,1203.0532360076904,5,0.2,0.6,0.27727342735504823,0.25
Fuzzy,চেয়ার,bn,631.0210227966309,0,0.0,0.0,0.0,0.0
Fuzzy,বাংলাদেশ কৃষি সমস্যা,bn,1942.1868324279785,9,0.0,0.0,0.0,0.0
Fuzzy,বেকারত্ব বাংলাদেশ,bn,1378.5297870635986,4,0.0,0.25,0.0,0.043478260869565216
Fuzzy,বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,en,2659.0328216552734,4,0.0,0.0,0.0,0.0
Fuzzy,কক্সবাজার শরণার্থী শিবির আগুন,bn,2629.005193710327,3,0.0,0.6666666666666666,0.0,0.0625
Fuzzy,নর্সিংদি ভূমিকম্প,en,1393.2397365570068,0,0.0,0.0,0.0,0.0
Fuzzy,বাংলাদেশে মুদ্রাস্ফীতি,en,1473.8895893096924,10,0.0,0.0,0.0,0.0
Fuzzy,আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,en,2649.1758823394775,4,0.2,0.5,0.2476427880871277,0.14285714285714285
Fuzzy,উন্নয়ন,bn,668.0057048797607,8,0.2,0.875,0.3372569370235428,1.0
Fuzzy,climate change impact in Bangladesh,bn,3051.382303237915,3,0.1,0.6666666666666666,0.20210734650054757,0.25
Fuzzy,Bangladesh economy growth,bn,1955.5387496948242,9,0.0,0.1111111111111111,0.0,0.058823529411764705
Fuzzy,Dhaka traffic congestion,en,1952.772617340088,9,0.0,0.4444444444444444,0.0,0.05263157894736842
Fuzzy,unemployment in Bangladesh,bn,1949.9859809875488,4,0.0,0.0,0.0,0.0
Fuzzy,Bangladesh interim government reforms,en,2687.9818439483643,8,0.1,0.5,0.15958907712489634,0.5
