Query,Lang,Translated,Rank-1 Title,Hybrid,BM25,Fuzzy,Semantic,Time(ms)
শিক্ষা ব্যবস্থা বাংলাদেশ,bn,The Education System Bangladesh,২ লাখ টাকার প্রশিক্ষণ বিনা মূল্যে পেতে করুন আবেদন,90.9%,54.7%,100.0%,100.0%,23819.2
বাংলাদেশ অর্থনীতি,bn,Bangladesh Economics,দক্ষিণ এশিয়ায় বাংলাদেশের মূল্যস্ফীতি সবচেয়ে বেশি,87.2%,51.4%,100.0%,95.5%,18236.1
বাংলাদেশ ব্যাংক,bn,Bangladesh Bank,আমানতকারীদের দুই বছরের মুনাফার ‘হেয়ারকাট’ করল বাংলাদেশ ব্যাংক,100.0%,100.0%,100.0%,100.0%,18402.5
ঢাকা যানজট,bn,Dhaka Traffic,ঢাকার তিন স্থানে আজও দুপুরে অবরোধের কর্মসূচি,83.9%,72.9%,100.0%,84.7%,18248.7
চেয়ার,bn,Chair,স্রষ্টা ও সৃষ্টির মধ্যে ভারসাম্য,80.0%,0.0%,100.0%,100.0%,18317.8
বাংলাদেশ কৃষি সমস্যা,bn,Bangladesh is a agricultural problem,বিশ্ব খাদ্য কর্মসূচির মাধ্যমে ৩০ হাজার টন সার পেল বাংলাদেশ,91.3%,63.1%,87.0%,100.0%,18476.1
বেকারত্ব বাংলাদেশ,bn,Unemployment Bangladesh,"ব্র্যাকের ‘ব্রিজ রিটার্নশিপ’, চাকরি থেকে বিরতি নেওয়া নারীদের কাজে ফেরানোর উদ্যোগ",80.0%,0.0%,100.0%,100.0%,18628.3
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,bn,Bangladesh is discussing 2026 elections.,ICC willing to address concerns about playing T20 World Cup in India: BCB,88.4%,60.7%,63.0%,99.9%,18603.5
কক্সবাজার শরণার্থী শিবির আগুন,bn,Coxbazar Refugee Camp Fire,"রোহিঙ্গা আশ্রয়শিবিরে দুটি ‘সন্ত্রাসী’ দলের গোলাগুলি, যুবক নিহত",90.0%,58.4%,83.0%,100.0%,18617.0
নর্সিংদি ভূমিকম্প,bn,Norsingadi Earthquake,"Quake hits northeast Sicily, no damage reported",76.5%,0.0%,65.0%,100.0%,18578.3
বাংলাদেশে মুদ্রাস্ফীতি,bn,inflation in Bangladesh,Living with inflation,81.8%,87.1%,100.0%,77.7%,18628.9
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,bn,The risk of labor in RMG industry,AI in job market,89.5%,70.0%,82.0%,96.1%,18678.9
উন্নয়ন,bn,Development,"বিনিয়োগ, বাণিজ্য ও প্রযুক্তিতে চীনের উত্থান: বাংলাদেশ কতটা প্রস্তুত?",87.6%,42.0%,100.0%,98.9%,18776.3
climate change impact in Bangladesh,en,বাংলাদেশে জলবায়ু পরিবর্তনের প্রভাব,নতুন মার্কিন নিরাপত্তানীতি বাংলাদেশের উপর কী প্রভাব ফেলবে,88.5%,42.4%,100.0%,100.0%,21646.1
Bangladesh economy growth,en,বাংলাদেশ অর্থনীতি বৃদ্ধি,দক্ষিণ এশিয়ায় বাংলাদেশের মূল্যস্ফীতি সবচেয়ে বেশি,95.2%,78.3%,100.0%,99.3%,18542.8
Dhaka traffic congestion,en,ঢাকা যানজট,Students block Dhaka roads for 2nd day demanding central university ordinance,81.8%,100.0%,100.0%,74.0%,18516.5
unemployment in Bangladesh,en,বাংলাদেশে বেকারত্ব,চাঁপাইনবাবগঞ্জের গোমস্তাপুর সীমান্তে ১৭ জনকে ঠেলে পাঠিয়েছে বিএসএফ,82.9%,35.4%,100.0%,94.1%,18508.3
Bangladesh interim government reforms,en,বাংলাদেশ ইন্টারিম সরকার সংস্কার,Reforms largely fail: TIB,94.3%,80.2%,100.0%,97.5%,18827.5
Rohingya refugee crisis in Bangladesh,en,রোহিঙ্গা শরণার্থী সঙ্কট বাংলাদেশে,টেকনাফ সীমান্ত দিয়ে অনুপ্রবেশের সময় গ্রেপ্তার ৫৩ জনের সবাই আশ্রয়শিবিরের শরণার্থী,93.9%,93.9%,100.0%,93.0%,18865.5
Bangladesh earthquake preparedness,en,বাংলাদেশ ভূমিকম্প প্রস্তুতি,Mild earthquake jolts Sylhet early Monday,87.6%,100.0%,76.0%,85.7%,18497.7
Bangladesh garment worker heat stress,en,বাংলাদেশ কাপড় শ্রমিক তাপ চাপ,টঙ্গীতে বকেয়া বেতনের দাবিতে আন্দোলনে হঠাৎ অসুস্থ ২০ পোশাকশ্রমিক,89.1%,49.3%,92.0%,100.0%,18375.9
Bangladesh T20 World Cup security concerns,en,বাংলাদেশ টি২০ বিশ্বকাপ নিরাপত্তা উদ্বেগ,ICC willing to address concerns about playing T20 World Cup in India: BCB,95.7%,100.0%,100.0%,93.8%,18909.9
Bangladesh quantum computing research,en,বাংলাদেশ কোয়ান্টাম কম্পিউটিং গবেষণা,Remembering Satyendra Nath Bose,95.1%,100.0%,60.0%,98.7%,18750.0
