Query,Lang,Translated,Rank-1 EN,Score EN,Rank-1 BN,Score BN,Time(ms)
শিক্ষা ব্যবস্থা বাংলাদেশ,bn,The Education System Bangladesh,Proactive steps can future-proof jobs in the AI era,100.000,সিংগাইরে চোর সন্দেহে পিটুনিতে ২ জন নিহত,100.000,7882.3
বাংলাদেশ অর্থনীতি,bn,Bangladesh Economics,"‘Ekhane Rajnoitik Alap Joruri’: Ambitious, flawed, hopeful",100.000,‘রূপপুরে ফেব্রুয়ারির শেষ নাগাদ প্রথম ইউনিটে ফুয়েল লোডিং সম্পন্ন হবে’,100.000,2634.3
বাংলাদেশ ব্যাংক,bn,Bangladesh Bank,Bangladesh’s farm success comes at a cost: Prof Anu Muhammad,100.000,নির্বাচনের মাঠ থেকে ছিটকে পড়লেন দেড়শো প্রার্থী,100.000,2613.5
ঢাকা যানজট,bn,Dhaka Traffic,Time to open railway tracks to private freight operators,100.000,আইনজীবী আলিফ হত্যা মামলায় চিন্ময় দাসসহ ৩৯ আসামির বিরুদ্ধে অভিযোগ গঠন,100.000,2687.8
চেয়ার,bn,Chair,Supreme Court tests limits of Trump’s power over the economy,100.000,নির্বাচনের মাঠ থেকে ছিটকে পড়লেন দেড়শো প্রার্থী,100.000,2607.0
বাংলাদেশ কৃষি সমস্যা,bn,Bangladesh is a agricultural problem,Potato Paradox: Just another curry on the rice plate? This will not solve the pr,100.000,"ইসির বিরুদ্ধে পক্ষপাতদুষ্টতার অভিযোগ, শুনানি শেষে বদলে গেলো দৃশ্যপট",100.000,2640.1
বেকারত্ব বাংলাদেশ,bn,Unemployment Bangladesh,Rebutting again: The wrong lens for our interim economy,100.000,নির্বাচনের মাঠ থেকে ছিটকে পড়লেন দেড়শো প্রার্থী,100.000,2649.3
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,bn,Bangladesh is discussing 2026 elections.,Jamaat question deepens rift within NCP,93.000,তরুণী প্রেমিকা নিয়ে লিওনার্দো ডিক্যাপ্রিওকে ট্রল,100.000,2745.8
কক্সবাজার শরণার্থী শিবির আগুন,bn,Coxbazar Refugee Camp Fire,5 children among 13 killed in Israeli attacks in Gaza,63.000,ইরানে আন্দোলন নিয়ে কেন ভয়ে আছে তুরস্ক,100.000,2756.3
নর্সিংদি ভূমিকম্প,bn,Norsingadi Earthquake,JnUcsu election sees over 60% turnout,65.000,নিরাপত্তা উপদেষ্টার সঙ্গে চীনা রাষ্ট্রদূতের বৈঠক,100.000,2676.4
বাংলাদেশে মুদ্রাস্ফীতি,bn,inflation in Bangladesh,Rebutting again: The wrong lens for our interim economy,100.000,নির্বাচনের মাঠ থেকে ছিটকে পড়লেন দেড়শো প্রার্থী,100.000,2683.2
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,bn,The risk of labor in RMG industry,Proactive steps can future-proof jobs in the AI era,94.000,কপ-৩০: প্রত্যাশা ও প্রাপ্তি,100.000,2717.7
উন্নয়ন,bn,Development,Bangladesh’s farm success comes at a cost: Prof Anu Muhammad,100.000,নির্বাচনের মাঠ থেকে ছিটকে পড়লেন দেড়শো প্রার্থী,100.000,2607.7
climate change impact in Bangladesh,en,বাংলাদেশে জলবায়ু পরিবর্তনের প্রভাব,From land to sea: Rethinking our future in a fragmented world,100.000,বিশ্ব খাদ্য কর্মসূচির মাধ্যমে ৩০ হাজার টন সার পেল বাংলাদেশ,100.000,5358.4
Bangladesh economy growth,en,বাংলাদেশ অর্থনীতি বৃদ্ধি,Time to open railway tracks to private freight operators,100.000,‘রূপপুরে ফেব্রুয়ারির শেষ নাগাদ প্রথম ইউনিটে ফুয়েল লোডিং সম্পন্ন হবে’,100.000,2686.6
Dhaka traffic congestion,en,ঢাকা যানজট,Time to open railway tracks to private freight operators,100.000,আইনজীবী আলিফ হত্যা মামলায় চিন্ময় দাসসহ ৩৯ আসামির বিরুদ্ধে অভিযোগ গঠন,100.000,2775.5
unemployment in Bangladesh,en,বাংলাদেশে বেকারত্ব,Rebutting again: The wrong lens for our interim economy,100.000,নির্বাচনের মাঠ থেকে ছিটকে পড়লেন দেড়শো প্রার্থী,100.000,2721.6
Bangladesh interim government reforms,en,বাংলাদেশ ইন্টারিম সরকার সংস্কার,"Yes vote, state neutrality, and fair process",100.000,নির্বাচনের মাঠ থেকে ছিটকে পড়লেন দেড়শো প্রার্থী,100.000,2771.7
Rohingya refugee crisis in Bangladesh,en,রোহিঙ্গা শরণার্থী সঙ্কট বাংলাদেশে,Bangladesh’s governance challenges,100.000,খুলনায় মুফতি আমির হামজার বিরুদ্ধে মামলা,100.000,2766.8
Bangladesh earthquake preparedness,en,বাংলাদেশ ভূমিকম্প প্রস্তুতি,The hidden strain,81.000,ড্রোন উৎপাদন বাড়াচ্ছে রাশিয়া: ইউক্রেনীয় সেনাপ্রধান,100.000,2721.5
