Query,Lang,Translated,Rank-1 EN,Score EN,Rank-1 BN,Score BN,Time(ms)
শিক্ষা ব্যবস্থা বাংলাদেশ,bn,The Education System Bangladesh,UGC drafts ord for more power,35.6%,২ লাখ টাকার প্রশিক্ষণ বিনা মূল্যে পেতে করুন আবেদন,41.3%,22523.1
বাংলাদেশ অর্থনীতি,bn,Bangladesh Economics,Democracy crucial for economic growth: business leaders,35.4%,সবার জন্য কিউআর কোডের মাধ্যমে ক্যাশলেস বাংলাদেশ বাস্তবায়ন,44.6%,17765.8
বাংলাদেশ ব্যাংক,bn,Bangladesh Bank,IFIC Bank hands over Tk 8cr startup fund cheque to BB,40.2%,আমানতকারীদের দুই বছরের মুনাফার ‘হেয়ারকাট’ করল বাংলাদেশ ব্যাংক,51.9%,17695.2
ঢাকা যানজট,bn,Dhaka Traffic,Dhaka becomes 4th most polluted city with AQI score of 193,33.6%,সিটি গভর্নমেন্ট প্রতিষ্ঠা না করলে শহরের আমূল পরিবর্তন সম্ভব নয়,44.4%,17757.7
চেয়ার,bn,Chair,Political will for increasing women’s participation urged,21.0%,স্রষ্টা ও সৃষ্টির মধ্যে ভারসাম্য,34.2%,17856.1
বাংলাদেশ কৃষি সমস্যা,bn,Bangladesh is a agricultural problem,Bangladesh’s farm success comes at a cost: Prof Anu Muhammad,42.0%,বিশ্ব খাদ্য কর্মসূচির মাধ্যমে ৩০ হাজার টন সার পেল বাংলাদেশ,47.1%,17905.3
বেকারত্ব বাংলাদেশ,bn,Unemployment Bangladesh,17 more people pushed into Bangladesh,29.0%,"ব্র্যাকের ‘ব্রিজ রিটার্নশিপ’, চাকরি থেকে বিরতি নেওয়া নারীদের কাজে ফেরানোর উদ্যোগ",37.5%,17776.1
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,bn,Bangladesh is discussing 2026 elections.,AB Bank holds strategic session for Dhaka Region,46.3%,আসন্ন নির্বাচন ও গণভোট: বাংলাদেশের গণতন্ত্রের অগ্নিপরীক্ষা,44.1%,18036.0
কক্সবাজার শরণার্থী শিবির আগুন,bn,Coxbazar Refugee Camp Fire,Fire guts 26 rooms in Gazipur,38.5%,"রোহিঙ্গা আশ্রয়শিবিরে দুটি ‘সন্ত্রাসী’ দলের গোলাগুলি, যুবক নিহত",39.9%,18111.6
নর্সিংদি ভূমিকম্প,bn,Norsingadi Earthquake,"Quake hits northeast Sicily, no damage reported",32.1%,ইরানে আন্দোলন নিয়ে কেন ভয়ে আছে তুরস্ক,27.5%,17717.2
বাংলাদেশে মুদ্রাস্ফীতি,bn,inflation in Bangladesh,Living with inflation,40.3%,আজকের বিনিময় হার,51.8%,17900.2
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,bn,The risk of labor in RMG industry,AI in job market,35.3%,সুতা আমদানিতে বন্ডেড সুবিধা প্রত্যাহার না করার দাবি,36.7%,18005.8
উন্নয়ন,bn,Development,Bridges Division secretary visits SASEC-2 project,22.3%,"‘নেকমরদ বাজারে’ আড়াই কোটি টাকার ভবন পড়ে আছে, ২ বছরেও ব্যবসা শুরু হয়নি",34.8%,17812.1
climate change impact in Bangladesh,en,বাংলাদেশে জলবায়ু পরিবর্তনের প্রভাব,Myanmar envoy summoned over gunfire towards Bangladesh,39.3%,নতুন মার্কিন নিরাপত্তানীতি বাংলাদেশের উপর কী প্রভাব ফেলবে,43.8%,20699.8
Bangladesh economy growth,en,বাংলাদেশ অর্থনীতি বৃদ্ধি,Democracy crucial for economic growth: business leaders,46.8%,"চলতি অর্থবছরে জিডিপি প্রবৃদ্ধি ৪.৬%, পূর্বাভাস বিশ্বব্যাংকের",51.8%,17872.2
Dhaka traffic congestion,en,ঢাকা যানজট,"Illegal occupation of roads, footpaths must stop",37.0%,সিটি গভর্নমেন্ট প্রতিষ্ঠা না করলে শহরের আমূল পরিবর্তন সম্ভব নয়,44.4%,17786.1
unemployment in Bangladesh,en,বাংলাদেশে বেকারত্ব,Killings on Bangladesh border by India’s BSF highest in 5 years,33.0%,"ব্র্যাকের ‘ব্রিজ রিটার্নশিপ’, চাকরি থেকে বিরতি নেওয়া নারীদের কাজে ফেরানোর উদ্যোগ",40.6%,18057.8
Bangladesh interim government reforms,en,বাংলাদেশ ইন্টারিম সরকার সংস্কার,Reforms largely fail: TIB,35.0%,গার্মেন্ট অ্যান্ড বায়িং হাউস অ্যাসোসিয়েশনের নতুন কমিটি,35.9%,18009.9
Rohingya refugee crisis in Bangladesh,en,রোহিঙ্গা শরণার্থী সঙ্কট বাংলাদেশে,Rohingyas ‘targeted for destruction’: Gambia,38.1%,রোহিঙ্গাদের জীবন বিভীষিকাময় করে তুলেছে মিয়ানমার,41.3%,18112.8
Bangladesh earthquake preparedness,en,বাংলাদেশ ভূমিকম্প প্রস্তুতি,Coldwave across Bangladesh may continue till January 11,34.3%,সন্ধিক্ষণে দাঁড়িয়ে বাংলাদেশকে যা করতে হবে,36.8%,18239.2
Bangladesh garment worker heat stress,en,বাংলাদেশ কাপড় শ্রমিক তাপ চাপ,Temperatures plunge further in the north,37.0%,টঙ্গীতে বকেয়া বেতনের দাবিতে আন্দোলনে হঠাৎ অসুস্থ ২০ পোশাকশ্রমিক,44.3%,17852.9
Bangladesh T20 World Cup security concerns,en,বাংলাদেশ টি২০ বিশ্বকাপ নিরাপত্তা উদ্বেগ,T20 WC: Bangladesh won’t travel to India,52.5%,বাংলাদেশ ইস্যুতে নিজেদের বিশ্বকাপ প্রস্তুতি স্থগিত করল পাকিস্তান,51.6%,17989.1
Bangladesh quantum computing research,en,বাংলাদেশ কোয়ান্টাম কম্পিউটিং গবেষণা,Remembering Satyendra Nath Bose,31.0%,এভিয়েশন অ্যান্ড অ্যারোস্পেস বিশ্ববিদ্যালয়ের ভর্তি পরীক্ষার ফলাফল প্রকাশ,31.4%,17929.5
